,latitude,longitude,Cu,Mid_Depth,DepthFrom,DepthTo,MagSus,MassInAir,MassInWater,SGFinal
0,-29.604030434516698,135.6209693662447,200.1509433962264,148.5,143.0,152.0,52.74928989156615,6568.363849720583,4154.026062496458,2.8350799286500816
1,-29.25548086069217,135.42474300001248,21.760563380281692,140.5,50.0,176.0,415.2253717214371,7414.684285222553,5054.197916096513,2.8985590650665927
2,-29.359961665868806,135.62772521640713,24.984375,155.0,120.0,187.0,290.4430042196691,6918.049843592475,4601.375233555824,2.8721584655034365
3,-29.451054867847844,135.58146982060444,10.885416666666666,118.0,117.0,122.0,158.20755698930952,6830.0979077550655,4445.820026289155,2.8329281272554976
4,-29.281877291578738,135.62148232129607,70.05555555555556,117.0,102.0,122.0,703.9795918367347,6664.029748514469,4520.160822739752,2.925856334276858
5,-29.73900583063809,135.63226430818426,898.3423913043479,169.0,102.0,198.0,19.509999999999998,6058.548753084018,3798.176694037902,2.9050179815185073
6,-29.73846436562918,135.63226091180832,616.6176470588235,134.0,74.0,168.0,46.17372179931044,6275.237561972695,3949.3737970768707,2.8905344063549014
7,-29.42995422959927,135.54516273539292,7.042857142857143,96.14285714285714,81.0,126.0,224.74518872072076,6958.212752015555,4613.4580950137315,2.8521756825302127
8,-29.351768105866647,135.64261243372505,22.24137931034483,109.0,107.0,127.0,2184.1935483870966,6167.2844100413495,4408.7649098037655,3.1582800397450055
9,-29.71830195697897,135.57720369885328,909.179104477612,166.21641791044777,162.0,200.0,34.42737058894636,6007.976996254896,3821.668513322722,2.885501469284062
10,-29.74128348956178,135.66111002505852,52.310344827586206,144.3793103448276,101.0,188.0,37.32061439367317,6734.45394563974,4222.625746882586,2.850599693839408
11,-29.740673619526692,135.6364009124245,111.41666666666667,154.58333333333334,92.0,166.0,0.7242509868847264,6718.907284607296,4147.357325427765,2.845818047667098
12,-29.748465487185697,135.63188929506322,30.615384615384617,156.98076923076923,114.0,162.0,-28.90948266083069,6747.35168572807,4144.9748328135975,2.8277960847912076
13,-29.73900806656089,135.62800381280508,557.7692307692307,196.35384615384615,78.0,210.5,52.36724171934475,6478.867359540884,4006.041917271723,2.9009046286610483
14,-29.716643255429396,135.57470255775897,963.4950495049505,159.50074257425743,158.95,161.71,776.9879411764706,5655.835293999982,3657.5969816232464,2.9972308993041175
15,-29.60404742726853,135.70771799215248,93.75,188.03125,184.0,204.0,67.55882824160653,6567.633108759655,4139.2304602460645,2.8366272702986937
16,-29.65624630451523,135.75044605244494,26.0,97.7,85.0,112.0,25.77958401964497,6487.031195605596,4057.5109159048807,2.8329643323052345
17,-29.6998589699225,135.7776459095683,3.85,140.975,93.0,153.0,13.045128913574445,6552.703813663451,4035.134479084998,2.8422725320453415
18,-29.588017950238513,135.62913179079652,15.933333333333334,118.9,74.0,161.0,146.3727754973952,6855.974007529207,4424.398797561851,2.860731952519864
19,-29.51674754802273,135.6039263641652,5.318181818181818,109.98863636363636,86.0,175.0,222.11319602623917,6917.82665859945,4578.066958153831,2.867822146433864
20,-29.4492786259408,135.63446107565395,14.0,96.125,92.0,104.0,164.5377208137652,6734.6988787595255,4386.8258710218215,2.839025399833452
21,-29.103428462557396,135.3692377093911,34.666666666666664,86.88888888888889,60.0,112.0,468.6823212638301,7352.496760452414,5145.919278087953,2.878821713719877
22,-29.674861572973576,135.54182832755922,7.0,57.75,56.0,59.0,-8.331343067602575,6774.702578436256,4268.729037781071,2.8104499070498257
23,-29.66403198355078,135.54177028182673,13.4,87.4,82.0,94.0,11.749109075648448,6811.97226569934,4302.621090628847,2.815771383952929
24,-29.658165948509716,135.5417388536203,23.666666666666668,44.833333333333336,44.0,47.0,4.44491246965481,6754.785536318879,4275.392603240973,2.813277867759213
25,-29.650043737519074,135.5416953529872,16.666666666666668,52.5,52.0,55.0,10.818953418918682,6769.812269139882,4288.985283200447,2.813472066605751
26,-29.64643386275259,135.54167602509102,18.5,54.0,52.0,56.0,13.672056783259904,6772.985588766685,4292.006540475879,2.8143023832321368
27,-29.64375995762537,135.53339660672398,14.0,35.75,0.0,36.0,33.73869820823165,6848.507320693738,4341.190055128827,2.827730197345249
28,-29.65639453294847,135.53346322834628,22.5,64.75,61.0,70.0,13.687464988877764,6797.063692312462,4305.8744558043545,2.815585512045508
29,-29.66559822405055,135.48701043185156,28.0,141.75,0.0,143.0,93.37038145873521,7219.519588072661,4528.753848437322,2.8697554490119104
30,-29.647548717590823,135.4869235248584,37.5,52.0,52.0,54.0,14.321235699815588,6841.595360324631,4351.721195466802,2.8123514071909517
31,-29.64078013993037,135.48689095512498,79.0,80.2,70.0,90.0,40.183237413686584,6862.099470023932,4378.569263430822,2.823745932224935
32,-29.690968917928327,135.45870801153384,53.0,84.0,82.0,86.0,-12.970688266188517,6888.871099826931,4348.035716834107,2.808838633996141
33,-29.64223512440419,135.4584869425613,35.0,110.5,110.0,111.0,19.63252484516488,6937.230953943508,4402.6331434487,2.8103219018508865
34,-29.61967306104587,135.4583847796611,35.0,55.025,55.0,56.08,34.317921325022326,6902.489464593782,4415.744099764786,2.8129982044545203
35,-29.63093615080646,135.46360083179047,27.5,73.5,70.0,76.0,31.068675359736517,6920.810021412923,4414.161559910448,2.8137126089202678
36,-29.62281380889113,135.46356364643378,11.0,72.5,72.0,73.0,31.461716556103056,6928.36995833728,4420.536870016083,2.8110464555955534
37,-29.651351789280056,135.43114784949853,6.0,68.5,68.0,69.0,12.00891239187331,6974.841282041278,4438.91272186915,2.80681636277099
38,-29.614801122312226,135.43099221158462,93.33333333333333,26.833333333333332,26.0,29.0,41.35804047611964,6878.456601826816,4425.60997665867,2.817447877917191
39,-29.621118536002946,135.43101909145798,15.5,31.55,0.0,32.0,52.18843807674057,7015.697577335093,4494.748209107747,2.823896580372516
